----------------------------------------------------------------------------------------------
| element          | number | electronegativity | AtomicMass  | ElectronicStructure  | group |
| ae:Ac            | "89"   | "1.1"             | "227.0"     | "[Rn].6d1.7s2"       | "3"   |
| ae:Actinium      | "89"   | "1.1"             | "227.0"     | "[Rn].6d1.7s2"       | "3"   |
| ae:Rf            | "104"  |                   | "267.0"     |                      | "4"   |
| ae:Rutherfordium | "104"  |                   | "267.0"     |                      | "4"   |
| ae:Db            | "105"  |                   | "268.0"     |                      | "5"   |
| ae:Dubnium       | "105"  |                   | "268.0"     |                      | "5"   |
| ae:Seaborgium    | "106"  |                   | "269.0"     |                      | "6"   |
| ae:Sg            | "106"  |                   | "269.0"     |                      | "6"   |
| ae:Bh            | "107"  |                   | "270.0"     |                      | "7"   |
| ae:Bohrium       | "107"  |                   | "270.0"     |                      | "7"   |
----------------------------------------------------------------------------------------------
